Title,Model,Gold Weight,Brilliant Weight,Brilliant Type,Color Grade,Clarity,Polish,Quality Type,Guaranty Type,Stone Weight,Price
حلقه ازدواج ست طلای سفید با نگین الماس تراش برلیان , srd1601,11/890,1/17 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,97230000
حلقه ازدواج ست طلای زرد با نگین الماس تراش برلیان , srd1600,10/870,1/06 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,88820000
حلقه ازدواج ست طلای سفید و زرد با نگین الماس تراش برلیان , srd1599,12/000,1/18 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,98070000
حلقه ازدواج ست طلای سفید و رزگلد با نگین الماس تراش برلیان , srd1598,10/570,1/04 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,86410000
حلقه ازدواج ست طلای سفید و زرد با نگین الماس تراش برلیان , srd1597,11/960,1/17 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,97800000
حلقه ازدواج ست طلای سفید و زرد با نگین الماس تراش برلیان , srd1596,12/540,1/23 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,102490000
حلقه ازدواج ست طلای زرد با نگین الماس تراش برلیان طرح ورساچی , srd1595,10/420,1/02 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,85210000
حلقه ازدواج ست طلای سفید با نگین الماس تراش برلیان , srd1594,8/640,0/85 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,70600000
حلقه ازدواج ست طلای سفید و زرد با نگین الماس تراش برلیان , srd1593,10/960,1/07 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,89630000
حلقه ازدواج ست طلای دو رنگ با نگین الماس تراش برلیان , srd1592,8/930,0/88 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,73010000
حلقه ازدواج ست طلای دو رنگ با نگین الماس تراش برلیان , srd1591,11/640,1/14 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,95120000
حلقه ازدواج ست طلای دو رنگ با نگین الماس تراش برلیان , srd1590,9/670,0/95 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,79040000
حلقه ازدواج ست طلای دو رنگ با نگین الماس تراش برلیان , srd1589,11/050,1/08 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,90300000
حلقه ازدواج ست طلای دو رنگ با نگین الماس تراش برلیان طرح ورساچی , srd1588,8/780,0/86 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,71810000
حلقه ازدواج ست طلای سفید و زرد با نگین الماس تراش برلیان , srd1587,31/820,0/78 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,106070000
حلقه ازدواج ست طلای سفید و زرد با نگین الماس تراش برلیان , srd1586,8/700,0/85 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,71140000
حلقه ازدواج ست طلای سفید و زرد با نگین الماس تراش برلیان , srd1585,22/150,0/24 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,66450000
حلقه ازدواج ست طلای سفید و زرد با نگین الماس تراش برلیان , srd1584,9/670,0/95 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,79040000
حلقه ازدواج ست طلای سفید و زرد با نگین الماس تراش برلیان , srd1583,13/040,1/28 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,106640000
حلقه ازدواج ست طلای سفید و زرد با نگین الماس تراش برلیان , srd1582,9/640,0/94 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,78780000
حلقه ازدواج ست طلای سفید و زرد با نگین الماس تراش برلیان , srd1581,15/390,1/51 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,125800000
حلقه ازدواج ست طلای سفید و زرد با نگین الماس تراش برلیان , srd1580,9/640,0/94 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,78780000
حلقه ازدواج ست طلای سفید و رزگلد با نگین الماس تراش برلیان , srd1579,6/540,0/64 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,53450000
حلقه ازدواج ست طلای سفید و زرد با نگین الماس تراش برلیان , srd1578,11/060,1/08 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,90430000
حلقه ازدواج ست طلای سفید و رزگلد با نگین الماس تراش برلیان , srd1577,9/820,0/96 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,80250000
حلقه ازدواج ست طلا دو رنگ با نگین الماس تراش برلیان , srd1576,9/790,0/96 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,80040000
حلقه ازدواج ست طلا دو رنگ با نگین الماس تراش برلیان , srd1575,12/660,1/24 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,103470000
حلقه ازدواج ست طلا سفید با نگین الماس تراش پرنس , srd1574,8/930,0/87 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,72980000
حلقه ازدواج ست طلا دو رنگ با نگین الماس تراش برلیان , srd1573,9/790,0/96 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,80040000
حلقه ازدواج ست طلا دو رنگ با نگین الماس تراش برلیان طرح ورساچی , srd1572,11/220,1/10 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,91760000
حلقه ازدواج ست طلا سفید با نگین الماس تراش برلیان , srd1571,11/960,1/17 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,97810000
حلقه ازدواج ست طلا دو رنگ با نگین الماس تراش برلیان , srd1570,11/960,1/17 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,97810000
حلقه ازدواج ست طلا سفید با نگین الماس تراش برلیان , srd1569,11/870,1/16 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,97050000
حلقه ازدواج ست طلا سفید با نگین الماس تراش برلیان , srd1568,9/030,0/89 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,73860000
حلقه ازدواج ست طلا زرد با نگین الماس تراش برلیان , srd1567,5/160,0/51 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,42220000
حلقه ازدواج ست طلا سفید با نگین الماس تراش برلیان , srd1566,6/980,0/68 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,57100000
حلقه ازدواج ست طلا با نگین الماس تراش برلیان , srd1565,8/770,0/86 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,71720000
حلقه ازدواج ست طلا زرد با نگین الماس تراش برلیان , srd1564,14/120,1/38 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,115410000
حلقه ازدواج ست طلای رزگلد و سفید با نگین برلیان , srd1563,7/880,0/77 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,64390000
حلقه ازدواج ست طلای سفید با نگین الماس تراش برلیان , srd1562,13/420,1/32 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,109700000
حلقه ازدواج ست طلا سفید و رزگلد با نگین الماس تراش برلیان , srd1561,9/340,0/92 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,76340000
 حلقه ازدواج ست با نگین برلیان و طلای زرد و سفید , srd1560,10/260,1/01 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,83870000
 حلقه ازدواج ست با نگین برلیان و طلای سفید , srd1559,15/500,1/52 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,126710000
 حلقه ازدواج ست با نگین برلیان و طلای زرد و سفید , srd1558,9/310,0/91 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,76080000
 حلقه ازدواج ست با نگین برلیان طرح بینهایت , srd1557,7/380,0/72 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,60370000
حلقه ازدواج ست طلا زرد با نگین الماس تراش برلیان , srd1556,9/730,0/95 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,79580000
حلقه ازدواج ست طلای رزگلد و سفید با نگین الماس تراش برلیان , srd1555,8/500,0/83 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,69450000
